"Name","Version","License","URL"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PyJWT","2.13.0","MIT","https://github.com/jpadilla/pyjwt"
"PySide6","6.11.1","LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only","https://pyside.org"
"PySide6_Addons","6.11.1","LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only","https://pyside.org"
"PySide6_Essentials","6.11.1","LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only","https://pyside.org"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"annotated-types","0.7.0","MIT License","https://github.com/annotated-types/annotated-types"
"anyio","4.14.2","MIT","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"attrs","26.1.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"backports.tarfile","1.2.0","MIT License","https://github.com/jaraco/backports.tarfile"
"certifi","2026.6.17","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"cffi","2.1.0","MIT-0","https://cffi.readthedocs.io/en/latest/whatsnew.html"
"charset-normalizer","3.4.9","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"click","8.4.2","BSD-3-Clause","https://github.com/pallets/click/"
"cryptography","48.0.1","Apache-2.0 OR BSD-3-Clause","https://github.com/pyca/cryptography"
"h11","0.16.0","MIT License","https://github.com/python-hyper/h11"
"httpcore","1.0.9","BSD-3-Clause","https://www.encode.io/httpcore/"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"httpx-sse","0.4.3","MIT","https://github.com/florimondmanca/httpx-sse"
"idna","3.18","BSD-3-Clause","https://github.com/kjd/idna"
"importlib_metadata","9.0.0","Apache-2.0","https://github.com/python/importlib_metadata"
"jaraco.classes","3.4.0","MIT License","https://github.com/jaraco/jaraco.classes"
"jaraco.context","6.1.2","MIT","https://github.com/jaraco/jaraco.context"
"jaraco.functools","4.6.0","MIT","https://github.com/jaraco/jaraco.functools"
"jsonschema","4.26.0","MIT","https://github.com/python-jsonschema/jsonschema"
"jsonschema-specifications","2025.9.1","MIT","https://github.com/python-jsonschema/jsonschema-specifications"
"keyring","25.7.0","MIT","https://github.com/jaraco/keyring"
"mcp","1.28.1","MIT License","https://modelcontextprotocol.io"
"more-itertools","11.1.0","MIT","https://github.com/more-itertools/more-itertools"
"platformdirs","4.10.0","MIT","https://github.com/tox-dev/platformdirs"
"prometheus_client","0.25.0","Apache-2.0 AND BSD-2-Clause","https://github.com/prometheus/client_python"
"pycparser","3.0","BSD-3-Clause","https://github.com/eliben/pycparser"
"pydantic","2.13.4","MIT","https://github.com/pydantic/pydantic"
"pydantic-settings","2.14.2","MIT","https://github.com/pydantic/pydantic-settings"
"pydantic_core","2.46.4","MIT","https://github.com/pydantic"
"python-dotenv","1.2.2","BSD-3-Clause","https://github.com/theskumar/python-dotenv"
"python-multipart","0.0.32","Apache-2.0","https://github.com/Kludex/python-multipart"
"referencing","0.37.0","MIT","https://github.com/python-jsonschema/referencing"
"requests","2.34.2","Apache Software License","https://github.com/psf/requests"
"rpds-py","2026.6.3","MIT","https://github.com/crate-py/rpds"
"shiboken6","6.11.1","LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only","https://pyside.org"
"sse-starlette","3.4.5","BSD-3-Clause","https://github.com/sysid/sse-starlette"
"sseclient-py","1.9.0","Apache Software License v2","UNKNOWN"
"starlette","1.3.1","BSD-3-Clause","https://github.com/Kludex/starlette"
"typing-inspection","0.4.2","MIT","https://github.com/pydantic/typing-inspection"
"typing_extensions","4.16.0","PSF-2.0","https://github.com/python/typing_extensions"
"urllib3","2.7.0","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"uvicorn","0.51.0","BSD-3-Clause","https://uvicorn.dev/"
"zipp","4.1.0","MIT","https://github.com/jaraco/zipp"
