line,time,level,logger,message,test
15,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=0 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerLogFile::test_emit_multiple_entries
16,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=1 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerLogFile::test_emit_multiple_entries
17,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=2 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerLogFile::test_emit_multiple_entries
21,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerLogFile::test_emit_writes_json_to_log_file
25,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerLogFile::test_log_file_created_automatically
30,20:29:42,WARNING,pypost.core.alert_manager,alert_manager_stale_handlers_evicted count=1 log_path=/var/folders/nw/j_4q1l450l39rp9x46khjp6c0000gn/T/tmp16rdrujv/alerts.log — prior AlertManager was not closed; evicting to prevent accumulation,tests/test_alert_manager.py::TestAlertManagerLogFile::test_logger_level_is_info
34,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_called_when_url_set
38,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_failure_does_not_propagate
39,20:29:42,WARNING,pypost.core.alert_manager,alert_webhook_failed url='http://hooks.example.com/alert' error=unreachable,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_failure_does_not_propagate
43,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_includes_auth_header_when_set
47,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_not_called_when_url_not_set
51,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_sends_json_body
55,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_timeout_does_not_propagate
56,20:29:42,WARNING,pypost.core.alert_manager,alert_webhook_failed url='http://hooks.example.com/alert' error=timed out,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_timeout_does_not_propagate
60,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=yes,tests/test_alert_manager.py::TestAlertManagerWebhook::test_webhook_timeout_is_five_seconds
64,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
65,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
66,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
67,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
68,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
69,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_close
73,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
74,20:29:42,WARNING,pypost.core.alert_manager,alert_emitted request_name='test-req' endpoint='http://example.com/api' retries=3 error_category=network webhook=no,tests/test_alert_manager.py::TestAlertManagerAccumulation::test_no_accumulation_via_gc_id_reuse
